date,killed,wounded,lat,lng
1/1/2014,2,2,36.8507689,-76.2858726
1/3/2014,1,3,40.7282239,-73.7948516
1/4/2014,2,2,41.7797533,-89.6889967
1/5/2014,1,3,41.4349882,-82.4752757
1/5/2014,0,4,33.7489954,-84.3879824
1/12/2014,0,5,42.0354084,-88.2825668
1/12/2014,0,5,34.7303688,-86.5861037
1/12/2014,0,4,45.5230622,-122.6764815
1/14/2014,0,4,34.0522342,-118.2436849
1/16/2014,1,4,34.1742611,-97.1436254
1/16/2014,2,2,36.7468422,-119.7725868
1/16/2014,5,0,40.114955,-111.654923
1/20/2014,0,4,38.7509488,-77.4752667
1/21/2014,2,3,40.735657,-74.1723667
1/25/2014,0,4,26.6845104,-80.6675577
1/25/2014,1,4,41.8781136,-87.6297982
1/27/2014,0,4,35.9382103,-77.7905339
1/27/2014,1,4,47.6062095,-122.3320708
1/28/2014,3,5,39.2903848,-76.6121893
1/28/2014,0,5,43.0389025,-87.9064736
2/2/2014,3,2,39.6203259,-90.0440001
2/3/2014,4,0,29.9716905,-95.6937856
2/5/2014,1,3,30.1115662,-83.5821063
2/6/2014,1,3,41.8781136,-87.6297982
2/6/2014,4,0,41.2844933,-84.3557802
2/7/2014,0,4,29.9510658,-90.0715323
2/12/2014,0,5,41.5933696,-87.3464271
2/12/2014,1,3,37.8043637,-122.2711137
2/12/2014,1,3,37.9577016,-121.2907796
2/15/2014,0,5,36.1699412,-115.1398296
2/15/2014,0,5,41.079273,-85.1393513
2/16/2014,0,4,43.4194699,-83.9508068
2/16/2014,1,4,32.7554883,-97.3307658
2/16/2014,1,4,30.3321838,-81.655651
2/16/2014,1,6,32.7766642,-96.7969879
2/16/2014,1,6,28.5577794,-81.4534046
2/18/2014,0,6,26.1224386,-80.1373174
2/20/2014,4,2,41.4871146,-120.5424555
2/20/2014,1,4,39.768403,-86.158068
2/23/2014,0,4,33.7857948,-118.2643567
2/24/2014,4,1,36.791225,-81.7712324
2/26/2014,4,0,41.719978,-87.7479528
3/1/2014,1,4,40.4406248,-79.9958864
3/3/2014,0,4,42.331427,-83.0457538
3/5/2014,3,1,34.6423372,-82.4559598
3/8/2014,1,3,37.9357576,-122.3477486
3/9/2014,0,4,43.0389025,-87.9064736
3/9/2014,0,6,41.8781136,-87.6297982
